Simplified,Traditional,Status,Interval
情人节,情人節,strong,124.153135
葡萄牙文,葡萄牙文,strong,155.961416
要是,要是,strong,154.932831
起床,起床,strong,148.363959
越南,越南,strong,60.363313
画画儿,畫畫兒,strong,76.230511
付,付,strong,3.67578
付钱,付錢,strong,22.079332
卡,卡,strong,176.196815
咖啡色,咖啡色,strong,176.871755
肉,肉,strong,43.752544
卖完,賣完,strong,40.099046
饭馆,飯館,strong,39.862964
酸辣汤,酸辣湯,strong,19.664767
带,帶,strong,9.51874
刷卡,刷卡,strong,109.684166
大小,大小,strong,109.035411
冰茶,冰茶,strong,43.908433
刻,刻,strong,53.263218
高兴,高興,strong,237.314935
牛肉,牛肉,strong,43.71831
电脑,電腦,strong,259.987086
清楚,清楚,strong,10.713869
牛,牛,strong,43.631074
师傅,師傅,strong,12.588072
醋,醋,weak,11.731231
甜,甜,strong,6.778299
忘,忘,strong,13.826019
双,雙,strong,201.11359
灰色,灰色,strong,131.575491
黑,黑,strong,128.913396
紫色,紫色,strong,18.944293
鞋,鞋,strong,39.305626
黄瓜,黃瓜,strong,15.616798
工商管理,工商管理,strong,62.077236
红烧,紅燒,strong,7.326065
鱼,魚,strong,38.509919
洋葱,洋蔥,strong,15.338522
糖醋鱼,糖醋魚,weak,1.35602
胡萝卜,胡蘿蔔,strong,38.175708
蛋,蛋,strong,22.170992
虾,蝦,strong,16.461767
猪肉,豬肉,strong,25.163975
远,遠,strong,26.598247
中间,中間,strong,35.855797
餐厅,餐廳,strong,165.970623
这儿,這兒,strong,137.101275
外套,外套,strong,67.050408
蓝色,藍色,weak,100.555077
帽子,帽子,strong,176.738977
上衣,上衣,strong,128.71512
大衣,大衣,strong,185.861071
羊肉,羊肉,strong,38.025086
橘红色,橘红色,strong,22.206793
裙子,裙子,strong,19.625282
最近,最近,strong,14.015724
粉红色,粉紅色,strong,61.476744
活动,活動,strong,16.16538
糖,糖,strong,37.905538
场,場,strong,38.58258
离,離,strong,40.715436
地方,地方,strong,41.730233
里边,裡邊,strong,10.912152
听说,聽說,strong,40.059
月,月,strong,52.502717
次,次,strong,40.88326
拿,拿,strong,40.086095
中国城,中國城,strong,38.416161
运动,運動,strong,26.242877
过,過,strong,39.871897
灯,燈,strong,40.919948
一直,一直,strong,32.221389
鸡,雞,strong,36.244428
旁边,旁邊,strong,35.595651
哎,哎,strong,3.326243
很,很,strong,267.60711
洗澡,洗澡,strong,161.98821
他,他,memorized,33.0
知道,知道,strong,164.049807
两,兩,memorized,0.0
第,第,strong,160.017605
也,也,memorized,0.260672
因为,因為,strong,168.508203
外国,外國,strong,173.428557
准备,準備,strong,204.78014
张,張,strong,158.329647
下午,下午,strong,196.286292
生词,生詞,strong,165.334774
二,二,memorized,32.0
杯子,杯子,strong,258.239277
上午,上午,strong,294.490173
法国,法國,strong,221.373255
小姐,小姐,strong,271.877711
是,是,strong,249.09734
父亲节,父親節,strong,11.507674
茶,茶,strong,214.206365
哪里,哪裡,strong,152.450409
号,號,strong,261.525899
练习,練習,strong,198.683214
学,學,strong,151.679833
慢,慢,strong,254.475464
后来,後來,strong,117.945322
买,買,strong,111.081352
美国,美國,strong,205.901915
岁,歲,strong,269.921411
算了,算了,strong,163.746429
祝,祝,strong,83.961824
经济,經濟,strong,6.999021
历史,歷史,strong,52.595506
音乐会,音樂會,strong,137.10542
物理,物理,weak,12.098214
化学,化學,strong,20.719135
得,得,strong,157.620439
早上,早上,strong,126.367712
除了…以外,除了…以外,strong,201.044957
数学,數學,strong,130.678238
以前,以前,strong,68.429204
舞,舞,strong,30.640779
亚洲研究,亞洲研究,strong,4.222729
书店,書店,strong,39.328301
样子,樣子,strong,7.038533
绿色,綠色,strong,23.483814
人,人,memorized,32.0
往,往,strong,18.75065
中心,中心,strong,42.332525
累,累,strong,151.350883
意思,意思,strong,264.823488
来,來,strong,281.055037
虽然,雖然,weak,3.343109
墨西哥,墨西哥,strong,62.372876
上个,上個,strong,89.585851
袜子,襪子,strong,66.762884
收,收,weak,12.125934
公共汽车,公共汽車,strong,100.026283
西装,西裝,strong,34.840178
送,送,strong,83.471078
走,走,strong,167.801934
T恤衫,T恤衫,strong,91.839261
机场,機場,strong,99.850204
毛衣,毛衣,strong,100.296283
夹克,夾克,strong,18.079051
票,票,strong,107.156596
先,先,strong,104.931308
或者,或者,strong,102.50004
站,站,strong,164.089795
最后,最後,strong,112.825531
地铁,地鐵,strong,106.534036
绿,綠,strong,84.590858
然后,然後,strong,55.675061
汽车,汽車,strong,104.847854
菜,菜,strong,274.243768
租,租,weak,7.296628
下车,下車,strong,105.023018
蓝,藍,strong,104.864011
线,線,strong,84.901192
机,機,strong,104.816205
打车,打車,strong,106.131845
午饭,午飯,strong,110.907809
事情,事情,strong,182.872674
吗,嗎,memorized,0.0
手机,手機,strong,116.532442
特别,特別,strong,59.299067
城市,城市,strong,33.548178
快乐,快樂,strong,163.71878
麻烦,麻煩,strong,98.354831
每,每,strong,169.89074
开车,開車,strong,168.283738
飞机场,飛機場,strong,161.312466
自己,自己,strong,15.300873
电子邮件,電子郵件,strong,91.240176
高速公路,高速公路,strong,96.207831
紧张,緊張,strong,83.641681
发短信,發短信,weak,55.499976
公路,公路,strong,112.577053
路,路,strong,171.083761
不好意思,不好意思,weak,17.103393
花,花,strong,106.752146
早饭,早飯,strong,130.494241
出租汽车,出租汽車,strong,104.522143
寒假,寒假,strong,92.440329
周末,週末,strong,29.26864
坐计程车,坐計程車,strong,18.19841
走路,走路,strong,93.339775
高速,高速,strong,27.311152
骑自行车,騎自行車,strong,120.529822
坐火车,坐火車,strong,149.886533
坐电车,坐電車,strong,95.985655
坐船,坐船,strong,95.345052
刚才,剛才,strong,28.20438
不但…而且,不但…而且,weak,7.17562
滑冰,滑冰,strong,84.482335
下雪,下雪,strong,89.680012
比,比,strong,104.6763
预报,預報,weak,1.308307
暖和,暖和,strong,7.493473
纸,紙,strong,34.529741
碟,碟,strong,19.249631
约,約,strong,85.746671
出去,出去,strong,103.884266
糟糕,糟糕,strong,73.309788
舒服,舒服,strong,6.686161
又,又,strong,45.607809
非常,非常,strong,154.302341
网上,網上,strong,96.063168
办,辦,strong,67.461789
冬天,冬天,strong,169.14641
回去,回去,strong,99.661724
骑摩托车,騎摩托車,strong,18.794309
新,新,strong,137.135285
穿,穿,strong,129.900984
为什么,為什麼,memorized,0.0
学校,學校,strong,253.214079
太…了,太…了,strong,244.597122
空,空,strong,187.917902
懂,懂,strong,192.195221
的,的,memorized,0.0
书,書,strong,266.651215
逛街,逛街,strong,20.555478
才,才,strong,267.844056
事儿,事兒,strong,211.137085
电影,電影,strong,311.668487
可以,可以,strong,244.131104
喂,喂,weak,62.150991
母亲节,母親節,strong,146.491971
还,還,strong,190.359661
男,男,memorized,0.0
没有,沒有,memorized,0.0
但是,但是,strong,206.144938
了,了,strong,282.213008
不,不,memorized,31.0
日本,日本,strong,218.936579
昨天,昨天,strong,31.617998
要,要,memorized,0.0
吧,吧,strong,209.31791
读,讀,strong,16.67535
唱歌,唱歌,strong,197.794653
文,文,memorized,0.254097
见,見,memorized,0.0
音乐,音樂,strong,208.621328
想,想,strong,276.426589
别的,別的,strong,247.976022
出租车,出租車,strong,133.331873
喝,喝,strong,199.575479
图书馆,圖書館,strong,264.837395
我们,我們,strong,247.647347
觉,覺,strong,9.87815
晚上,晚上,strong,258.817979
英国,英國,strong,206.596661
饭卡,飯卡,strong,41.228704
凉拌,涼拌,strong,15.354413
天,天,memorized,0.0
公园,公園,strong,157.522709
分钟,分鐘,strong,299.20519
北京,北京,strong,284.163332
商店,商店,strong,205.847071
行,行,strong,204.057034
下个,下個,strong,189.297268
常常,常常,strong,177.069924
真,真,strong,209.846344
帮,幫,strong,267.850137
上,上,memorized,0.0
错,錯,strong,249.877504
韩国,韓國,strong,234.701059
跟,跟,strong,32.195363
现在,現在,strong,80.054791
家,家,strong,251.347099
汉语,漢語,strong,269.142764
给,給,strong,260.22698
口,口,memorized,0.0
只,只,strong,201.06108
没关系,沒關係,strong,262.470548
更,更,strong,66.094491
后面,後面,strong,265.732444
德文,德文,strong,257.25761
百事可乐,百事可樂,strong,79.336469
问,問,strong,145.115061
块,塊,strong,138.498092
难,難,strong,65.350413
一起,一起,strong,163.483203
介绍,介紹,strong,203.813856
地图,地圖,strong,39.719515
说,說,strong,79.844608
学习,學習,strong,267.684562
刷,刷,strong,84.754718
帅,帥,strong,4.333868
近,近,strong,187.689949
告诉,告訴,strong,81.863618
印度,印度,strong,184.091253
那,那,strong,80.202822
明天,明天,strong,264.504713
学生,學生,strong,254.093549
飞机,飛機,strong,299.396775
让,讓,strong,165.36909
床,床,strong,78.476497
电视,電視,strong,317.438103
车,車,strong,165.526977
有的,有的,strong,28.530299
还是,還是,strong,267.015919
星期,星期,strong,262.377213
这,這,strong,245.869567
你,你,memorized,0.0
看,看,strong,268.680053
别,別,strong,13.235561
名字,名字,strong,293.362122
多少,多少,strong,286.160256
客气,客氣,strong,18.525054
十,十,strong,267.980563
都,都,strong,236.914438
水,水,strong,256.45346
法文,法文,strong,74.108102
在,在,memorized,0.0
对,對,strong,271.602631
八,八,memorized,0.0
预习,預習,strong,82.336802
杯,杯,strong,152.91978
下雨,下雨,strong,286.658303
考,考,strong,261.390039
十八,十八,memorized,0.0
今年,今年,memorized,0.0
回家,回家,strong,264.423086
谁,誰,strong,76.756957
看见,看見,strong,253.238404
工人,工人,strong,260.099528
路口,路口,weak,7.032616
红绿灯,紅綠燈,strong,11.18562
时候,時候,strong,262.636896
前,前,weak,7.075574
城,城,weak,6.883682
拐,拐,strong,7.256118
北,北,weak,6.946081
右,右,weak,7.18134
左,左,strong,6.873513
瓶,瓶,strong,141.128537
妹妹,妹妹,memorized,0.0
所以,所以,strong,54.410997
矿泉水,礦泉水,strong,56.805787
聊天儿,聊天兒,strong,186.908805
汽水,汽水,strong,245.759638
快,快,strong,81.356405
哥哥,哥哥,memorized,0.0
得,得,memorized,0.0
太,太,strong,269.616537
有,有,strong,249.796119
生,生,memorized,0.0
日,日,memorized,0.0
问题,問題,strong,180.053482
意大利文,意大利文,strong,200.569513
进来,進來,strong,250.760505
点儿,點兒,memorized,0.0
您,您,memorized,0.0
饭,飯,memorized,0.0
玩游戏机,玩遊戲機,strong,150.290204
玩,玩,strong,261.707063
东,東,strong,7.045901
东京,東京,strong,6.888795
从,從,strong,7.211318
南,南,strong,6.965974
过,過,strong,7.75779
西,西,strong,6.832134
单行道,單行道,weak,0.25
斑马线,斑馬線,strong,7.535725
地下通道,地下通道,strong,8.059196
地下道,地下道,strong,6.91161
宫保鸡丁,宮保雞丁,strong,7.554579
天桥,天橋,weak,0.817471
麻婆豆腐,麻婆豆腐,strong,7.66171
礼物,禮物,strong,3.757541
炒面,炒麵,strong,3.673171
西瓜,西瓜,strong,7.499987
楼,樓,weak,0.781499
把,把,strong,7.81117
舞会,舞會,strong,7.567485
重,重,strong,7.99768
接,接,strong,7.563117
中学,中學,strong,7.573077
梨,梨,strong,7.29132
表姐,表姐,strong,7.470057
找,找,strong,190.994577
蛋花汤,蛋花湯,strong,8.017346
饮料,飲料,strong,3.907334
眼睛,眼睛,weak,3.050828
去年,去年,strong,6.933474
最,最,strong,7.171305
嘴,嘴,weak,0.747395
鼻子,鼻子,weak,3.143352
可爱,可愛,weak,3.065791
脸,臉,weak,3.049241
聪明,聰明,strong,3.722148
英文,英文,strong,137.335868
长,長,strong,3.630352
钟头,鐘頭,strong,3.706793
一定,一定,weak,1.688233
用功,用功,weak,1.783155
蛋糕,蛋糕,strong,3.710671
以为,以為,weak,0.445938
圆,圓,strong,4.110446
暑期,暑期,weak,1.80013
像,像,strong,3.95146
属,屬,weak,0.25
班,班,strong,3.696933
长大,長大,weak,0.25
汤姆,湯姆,strong,3.022626
海伦,海倫,blocked,0.25
草莓,草莓,weak,1.653778
香蕉,香蕉,weak,0.25
葡萄,葡萄,weak,1.723383
橘子,橘子,weak,0.253331
饼干,餅乾,weak,0.252353
糖果,糖果,weak,0.25
零食,零食,weak,0.241433
气球,氣球,weak,0.240038
蛇,蛇,weak,0.25
卡片,卡片,weak,0.25
桃儿,桃兒,weak,0.25
怎么样,怎麼樣,strong,267.717206
觉得,覺得,strong,249.383229
考试,考試,strong,30.481461
歌,歌,strong,275.925968
上海,上海,strong,16.629391
请,請,strong,253.893027
感恩节,感恩節,strong,140.225363
姐姐,姐姐,memorized,0.0
下,下,memorized,0.0
到,到,strong,190.897083
可是,可是,strong,32.954803
等,等,strong,208.792111
上班,上班,strong,189.596127
经理,經理,strong,146.7208
就,就,strong,272.904304
见面,見面,strong,245.519257
不客气,不客氣,strong,293.269485
